model,threshold,accuracy
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.65,0.6354166666666666
output_phase_encoding,0.9,0.484375
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.65,0.6354166666666666
output_phase_encoding,0.9,0.484375
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.65,0.6354166666666666
output_phase_encoding,0.9,0.484375
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.65,0.6354166666666666
output_phase_encoding,0.9,0.484375
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.65,0.6354166666666666
output_phase_encoding,0.9,0.484375
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.65,0.6354166666666666
output_phase_encoding,0.9,0.484375
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.65,0.6354166666666666
output_phase_encoding,0.9,0.484375
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.65,0.6354166666666666
output_phase_encoding,0.9,0.484375
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.65,0.6354166666666666
output_phase_encoding,0.9,0.484375
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.65,0.6354166666666666
output_phase_encoding,0.9,0.484375
