error,model
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.6615,error_encoding_weight
0.6667,error_encoding_weight
0.6667,error_encoding_weight
0.6667,error_encoding_weight
0.6615,error_encoding_weight
0.5104,error_encoding_input
0.5104,error_encoding_input
0.5,error_encoding_input
0.4844,error_encoding_input
0.5208,error_encoding_input
0.4948,error_phase_encoding
0.4896,error_phase_encoding
0.5417,error_phase_encoding
0.5156,error_phase_encoding
0.5312,error_phase_encoding
