model,threshold,accuracy
output_encoding_weight,0.5,0.6614583333333334
output_encoding_input,0.75,0.6666666666666666
output_phase_encoding,0.55,0.6927083333333334
output_encoding_weight,0.5,0.6614583333333334
output_encoding_input,0.75,0.6666666666666666
output_phase_encoding,0.55,0.6927083333333334
output_encoding_weight,0.5,0.6614583333333334
output_encoding_input,0.75,0.6666666666666666
output_phase_encoding,0.55,0.6927083333333334
output_encoding_weight,0.5,0.6614583333333334
output_encoding_input,0.75,0.6666666666666666
output_phase_encoding,0.55,0.6927083333333334
output_encoding_weight,0.5,0.6614583333333334
output_encoding_input,0.75,0.6666666666666666
output_phase_encoding,0.55,0.6927083333333334
output_encoding_weight,0.5,0.6614583333333334
output_encoding_input,0.75,0.6666666666666666
output_phase_encoding,0.55,0.6927083333333334
output_encoding_weight,0.5,0.6614583333333334
output_encoding_input,0.75,0.6666666666666666
output_phase_encoding,0.55,0.6927083333333334
output_encoding_weight,0.5,0.6614583333333334
output_encoding_input,0.75,0.6666666666666666
output_phase_encoding,0.55,0.6927083333333334
output_encoding_weight,0.5,0.6614583333333334
output_encoding_input,0.75,0.6666666666666666
output_phase_encoding,0.55,0.6927083333333334
output_encoding_weight,0.5,0.6614583333333334
output_encoding_input,0.75,0.6666666666666666
output_phase_encoding,0.55,0.6927083333333334
