model,phase_strategy,avg_accuracy_score,best_accuracy_score,min_accuracy_score,var_accuracy_score,best_precision_score,best_recall_score,best_f1_score
HSGS,original,0.55,0.7,0.43,0.07,0.65,0.67,0.66
phase-encoding,angle,0.59,0.71,0.43,0.07,1.0,0.67,0.58
phase-encoding,angleradius,0.39,0.57,0.0,0.19,0.25,0.33,0.29
phase-encoding,original,0.6,0.86,0.29,0.14,0.75,1.0,0.86
phase-encoding,radius,0.58,0.86,0.37,0.13,1.0,0.67,0.8
