model,phase_strategy,avg_accuracy_score,max_accuracy_score,min_accuracy_score,var_accuracy_score,avg_precision_score,avg_recall_score,avg_f1_score
HSGS,original,0.5,0.5,0.5,0.0,0.5,1.0,0.67
phase-encoding,angle,0.7,1.0,0.0,0.04,0.79,0.75,0.71
phase-encoding,angleradius,0.64,1.0,0.0,0.09,0.71,0.64,0.63
phase-encoding,original,0.5,0.5,0.48,0.0,0.33,0.66,0.44
phase-encoding,radius,0.5,0.72,0.35,0.0,0.2,0.22,0.19
