error,model
0.6927,error_HSGS
0.6927,error_HSGS
0.6979,error_HSGS
0.7031,error_HSGS
0.6562,error_encoding_weight
0.6562,error_encoding_weight
0.6562,error_encoding_weight
0.6562,error_encoding_weight
0.6771,error_encoding_input
0.7031,error_encoding_input
0.6875,error_encoding_input
0.6927,error_encoding_input
0.6562,error_classic
0.6562,error_classic
0.6562,error_classic
0.6562,error_classic
0.7135,error_classic_bin
0.7135,error_classic_bin
0.7135,error_classic_bin
0.7135,error_classic_bin
