,model,phase_strategy,threshold,bias,lr,initial_weights,neuron_outputs,circuit_size
23,phase-encoding,angle,0.3,True,0.1,0.5384958704104337,"[0.934814453125, 0.837158203125, 0.935546875, 0.8370361328125, 0.937255859375, 0.839111328125, 0.934326171875, 0.8349609375, 0.930908203125, 0.8419189453125, 0.9322509765625, 0.8494873046875, 0.9337158203125, 0.832763671875, 0.935546875, 0.8455810546875, 0.93212890625, 0.8372802734375, 0.933837890625, 0.8363037109375]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
24,phase-encoding,angle,0.5,False,0.02,0.5384958704104337,"[0.9881591796875, 0.010498046875, 0.4906005859375, 0.496826171875, 0.986083984375, 0.014404296875, 0.4874267578125, 0.49462890625, 0.986083984375, 0.012451171875, 0.4892578125, 0.48876953125, 0.986328125, 0.01123046875, 0.49755859375, 0.4912109375, 0.98876953125, 0.0126953125, 0.5030517578125, 0.488037109375]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
25,phase-encoding,angle,0.5,True,0.02,0.5384958704104337,"[0.6009521484375, 0.9998779296875, 0.5958251953125, 0.999755859375, 0.5953369140625, 0.999755859375, 0.5997314453125, 0.9998779296875, 0.5968017578125, 0.9998779296875, 0.598876953125, 0.99951171875, 0.5965576171875, 0.99951171875, 0.592529296875, 0.999755859375, 0.6002197265625, 0.999755859375, 0.5909423828125, 0.9996337890625]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
26,phase-encoding,angle,0.5,False,0.1,0.5384958704104337,"[0.8511962890625, 0.0252685546875, 0.2305908203125, 0.235595703125, 0.8572998046875, 0.0289306640625, 0.2371826171875, 0.2337646484375, 0.8521728515625, 0.029541015625, 0.2420654296875, 0.232666015625, 0.8515625, 0.0262451171875, 0.235595703125, 0.2320556640625, 0.8568115234375, 0.0289306640625, 0.2379150390625, 0.2398681640625]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
27,phase-encoding,angle,0.5,True,0.1,0.5384958704104337,"[0.999267578125, 0.6324462890625, 0.999267578125, 0.639892578125, 0.9989013671875, 0.6314697265625, 0.9986572265625, 0.63232421875, 0.999755859375, 0.6429443359375, 0.9990234375, 0.64013671875, 0.9996337890625, 0.6297607421875, 0.9989013671875, 0.6436767578125, 0.9991455078125, 0.6387939453125, 0.9990234375, 0.638671875]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
28,phase-encoding,angle,0.7,False,0.02,0.5384958704104337,"[0.99853515625, 0.0634765625, 0.6456298828125, 0.6397705078125, 0.999267578125, 0.0577392578125, 0.6395263671875, 0.6414794921875, 0.998779296875, 0.059326171875, 0.644287109375, 0.6395263671875, 0.9990234375, 0.06396484375, 0.639404296875, 0.641357421875, 0.998779296875, 0.059326171875, 0.6439208984375, 0.64013671875]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
29,phase-encoding,angle,0.7,True,0.02,0.5384958704104337,"[0.7991943359375, 0.9583740234375, 0.8079833984375, 0.951416015625, 0.79931640625, 0.9559326171875, 0.8082275390625, 0.95361328125, 0.8035888671875, 0.9542236328125, 0.8045654296875, 0.957275390625, 0.8045654296875, 0.951904296875, 0.7945556640625, 0.95361328125, 0.799072265625, 0.9552001953125, 0.8017578125, 0.9598388671875]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
30,phase-encoding,angle,0.7,False,0.1,0.5384958704104337,"[0.9967041015625, 0.0743408203125, 0.6651611328125, 0.656494140625, 0.9971923828125, 0.0738525390625, 0.66357421875, 0.6636962890625, 0.997314453125, 0.0770263671875, 0.659912109375, 0.6585693359375, 0.9971923828125, 0.0745849609375, 0.673095703125, 0.6678466796875, 0.9970703125, 0.06494140625, 0.6640625, 0.662841796875]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
31,phase-encoding,angle,0.7,True,0.1,0.5384958704104337,"[0.9945068359375, 0.6854248046875, 0.9949951171875, 0.68310546875, 0.9942626953125, 0.6815185546875, 0.994873046875, 0.6815185546875, 0.99609375, 0.6788330078125, 0.995849609375, 0.681884765625, 0.9951171875, 0.6776123046875, 0.9940185546875, 0.681884765625, 0.9937744140625, 0.68017578125, 0.99560546875, 0.6795654296875]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
32,phase-encoding,angle,0.8,False,0.02,0.5384958704104337,"[0.954833984375, 0.1732177734375, 0.801025390625, 0.7943115234375, 0.9566650390625, 0.177734375, 0.800537109375, 0.8040771484375, 0.95751953125, 0.1724853515625, 0.8023681640625, 0.8017578125, 0.9588623046875, 0.1810302734375, 0.794921875, 0.8018798828125, 0.9608154296875, 0.1676025390625, 0.7999267578125, 0.7904052734375]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
