model,phase_strategy,threshold,bias,lr,initial_weights,neuron_outputs,circuit_size
HSGS,original,0.8,True,0.02,0.4384092314408935,"[0.0, 0.253662109375, 1.0, 0.24365234375, 0.0, 0.2529296875, 1.0, 0.2467041015625, 0.0, 0.239013671875, 1.0, 0.249267578125, 0.0, 0.2520751953125, 1.0, 0.251953125, 0.0, 0.2421875, 1.0, 0.248046875]","[9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10]"
HSGS,original,0.8,False,0.1,0.4384092314408935,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.8,True,0.1,0.4384092314408935,"[1.0, 0.2564697265625, 0.0, 0.2523193359375, 1.0, 0.247314453125, 0.0, 0.2515869140625, 1.0, 0.2513427734375, 0.0, 0.254638671875, 1.0, 0.2591552734375, 0.0, 0.26171875, 1.0, 0.2528076171875, 0.0, 0.244873046875]","[10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11]"
HSGS,original,0.9,False,0.02,0.4384092314408935,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.9,True,0.02,0.4384092314408935,"[0.0, 0.24951171875, 1.0, 0.2447509765625, 0.0, 0.249267578125, 1.0, 0.24951171875, 0.0, 0.2513427734375, 1.0, 0.255126953125, 0.0, 0.2510986328125, 1.0, 0.2471923828125, 0.0, 0.2479248046875, 1.0, 0.25146484375]","[9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10]"
HSGS,original,0.9,False,0.1,0.4384092314408935,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.9,True,0.1,0.4384092314408935,"[1.0, 0.24951171875, 0.0, 0.2542724609375, 1.0, 0.2528076171875, 0.0, 0.256103515625, 1.0, 0.2506103515625, 0.0, 0.25146484375, 1.0, 0.2572021484375, 0.0, 0.2547607421875, 1.0, 0.241943359375, 0.0, 0.25244140625]","[10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11]"
HSGS,original,0.3,False,0.02,0.7234651778309412,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.3,True,0.02,0.7234651778309412,"[0.0, 0.248291015625, 1.0, 0.253173828125, 0.0, 0.2481689453125, 1.0, 0.2489013671875, 0.0, 0.2557373046875, 1.0, 0.246826171875, 0.0, 0.249755859375, 1.0, 0.24951171875, 0.0, 0.2464599609375, 1.0, 0.2476806640625]","[9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10]"
HSGS,original,0.3,False,0.1,0.7234651778309412,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
