,output_HSGS,output_encoding_weight,output_encoding_input,output_phase_encoding
101,1.0,0.634765625,0.3974609375,0.984375
102,1.0,0.6279296875,0.5556640625,0.8720703125
103,1.0,0.607421875,0.560546875,0.7626953125
104,1.0,0.6279296875,0.5390625,0.783203125
105,1.0,0.638671875,0.53125,0.833984375
106,1.0,0.6328125,0.466796875,0.7900390625
107,1.0,0.6015625,0.50390625,0.880859375
108,1.0,0.609375,0.4716796875,0.9677734375
109,1.0,0.61328125,0.435546875,0.9970703125
110,1.0,0.6103515625,0.5400390625,0.7939453125
111,1.0,0.6123046875,0.376953125,1.0
112,1.0,0.62890625,0.39453125,0.9853515625
113,1.0,0.625,0.478515625,0.943359375
114,1.0,0.6181640625,0.5634765625,0.6826171875
115,1.0,0.6162109375,0.5009765625,0.8701171875
116,1.0,0.61328125,0.40234375,0.9951171875
117,1.0,0.6201171875,0.4111328125,1.0
118,1.0,0.6103515625,0.5302734375,0.869140625
119,1.0,0.630859375,0.5283203125,0.87109375
120,1.0,0.6142578125,0.54296875,0.875
121,1.0,0.630859375,0.5458984375,0.85546875
122,1.0,0.6162109375,0.560546875,0.7841796875
123,1.0,0.6357421875,0.5234375,0.9482421875
124,1.0,0.6162109375,0.455078125,0.935546875
125,1.0,0.6220703125,0.4619140625,0.9091796875
126,1.0,0.6240234375,0.337890625,0.974609375
127,1.0,0.625,0.6083984375,0.5947265625
128,1.0,0.599609375,0.509765625,0.8623046875
129,1.0,0.5947265625,0.451171875,0.951171875
130,1.0,0.595703125,0.5244140625,0.7421875
131,1.0,0.62109375,0.376953125,0.998046875
132,1.0,0.6435546875,0.416015625,0.99609375
133,1.0,0.607421875,0.43359375,0.984375
134,1.0,0.607421875,0.4873046875,0.939453125
135,1.0,0.6240234375,0.4873046875,0.9384765625
136,1.0,0.6328125,0.4072265625,1.0
137,1.0,0.6123046875,0.4716796875,0.9638671875
138,1.0,0.638671875,0.52734375,0.775390625
139,1.0,0.619140625,0.4287109375,0.962890625
140,1.0,0.611328125,0.4296875,0.97265625
141,1.0,0.6171875,0.3583984375,0.9970703125
142,1.0,0.630859375,0.5185546875,0.8193359375
143,1.0,0.619140625,0.46484375,0.9423828125
144,1.0,0.6123046875,0.5126953125,0.828125
145,1.0,0.6513671875,0.3837890625,0.9853515625
146,1.0,0.64453125,0.455078125,0.8583984375
147,1.0,0.6318359375,0.5546875,0.6357421875
148,1.0,0.623046875,0.40625,0.9619140625
149,1.0,0.6259765625,0.4189453125,0.984375
150,1.0,0.658203125,0.482421875,0.9169921875
151,1.0,0.6279296875,0.396484375,0.99609375
152,1.0,0.6123046875,0.4560546875,0.9736328125
153,1.0,0.646484375,0.4130859375,0.890625
154,1.0,0.5986328125,0.376953125,0.998046875
155,1.0,0.609375,0.578125,0.7607421875
156,1.0,0.65234375,0.3935546875,0.96484375
157,1.0,0.619140625,0.4658203125,0.9775390625
158,1.0,0.6376953125,0.529296875,0.7099609375
159,1.0,0.625,0.5888671875,0.62890625
160,1.0,0.611328125,0.3623046875,0.9990234375
161,1.0,0.634765625,0.5068359375,0.8720703125
162,1.0,0.6376953125,0.4287109375,0.9892578125
163,1.0,0.615234375,0.5625,0.728515625
164,1.0,0.6044921875,0.5361328125,0.8837890625
165,1.0,0.6181640625,0.5166015625,0.8720703125
166,1.0,0.6064453125,0.5380859375,0.8603515625
167,1.0,0.6328125,0.4755859375,0.9580078125
168,1.0,0.62109375,0.4853515625,0.8603515625
169,1.0,0.6181640625,0.35546875,0.998046875
170,1.0,0.630859375,0.4267578125,0.990234375
171,1.0,0.6123046875,0.4375,0.919921875
172,1.0,0.619140625,0.47265625,0.96484375
173,1.0,0.6240234375,0.4853515625,0.85546875
174,1.0,0.638671875,0.4150390625,0.994140625
175,1.0,0.6201171875,0.408203125,0.9833984375
176,1.0,0.623046875,0.4560546875,0.9765625
177,1.0,0.59765625,0.357421875,0.9931640625
178,1.0,0.619140625,0.45703125,0.98828125
179,1.0,0.625,0.521484375,0.7333984375
180,1.0,0.62890625,0.45703125,0.9365234375
181,1.0,0.6240234375,0.4345703125,0.93359375
182,1.0,0.6435546875,0.5224609375,0.794921875
183,1.0,0.6162109375,0.5234375,0.8388671875
184,1.0,0.59765625,0.4609375,0.9638671875
185,1.0,0.6298828125,0.349609375,1.0
186,1.0,0.634765625,0.4765625,0.8583984375
187,1.0,0.583984375,0.5029296875,0.845703125
188,1.0,0.607421875,0.396484375,1.0
189,1.0,0.6337890625,0.384765625,0.9970703125
190,1.0,0.62890625,0.521484375,0.81640625
191,1.0,0.607421875,0.4912109375,0.927734375
192,1.0,0.5869140625,0.318359375,0.9375
193,1.0,0.6611328125,0.505859375,0.904296875
194,1.0,0.6416015625,0.5283203125,0.8232421875
195,1.0,0.625,0.505859375,0.8818359375
196,1.0,0.6240234375,0.5009765625,0.748046875
197,1.0,0.6328125,0.4677734375,0.970703125
198,1.0,0.615234375,0.455078125,0.9853515625
199,1.0,0.6279296875,0.41796875,0.98828125
