,auc-roc-score,precision_score,recall_score,accuracy_score,model
0,0.5,0.5,1.0,0.5,output_HSGS
1,0.58835,0.0,0.0,0.43,output_encoding_weight
2,0.18760000000000002,0.0,0.0,0.485,output_encoding_input
3,0.5025,0.5374149659863946,0.79,0.555,output_phase_encoding
