error,model
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.18,error_encoding_weight
0.205,error_encoding_weight
0.195,error_encoding_weight
0.195,error_encoding_weight
0.18,error_encoding_weight
0.18,error_encoding_weight
0.19,error_encoding_weight
0.19,error_encoding_weight
0.19,error_encoding_weight
0.185,error_encoding_weight
0.52,error_encoding_input
0.515,error_encoding_input
0.54,error_encoding_input
0.505,error_encoding_input
0.56,error_encoding_input
0.415,error_encoding_input
0.51,error_encoding_input
0.57,error_encoding_input
0.47,error_encoding_input
0.52,error_encoding_input
0.62,error_phase_encoding
0.615,error_phase_encoding
0.6,error_phase_encoding
0.615,error_phase_encoding
0.61,error_phase_encoding
0.61,error_phase_encoding
0.62,error_phase_encoding
0.61,error_phase_encoding
0.615,error_phase_encoding
0.615,error_phase_encoding
