model,phase_strategy,avg_accuracy_score,best_accuracy_score,min_accuracy_score,var_accuracy_score,best_precision_score,best_recall_score,best_f1_score
HSGS,original,0.52,0.66,0.32,0.15,0.32,1.0,0.49
phase-encoding,angle,0.66,0.68,0.59,0.03,0.0,0.0,0.0
phase-encoding,angleradius,0.68,0.68,0.68,0.0,0.0,0.0,0.0
phase-encoding,original,0.68,0.72,0.68,0.02,0.66,0.32,0.43
phase-encoding,radius,0.68,0.69,0.68,0.01,1.0,0.04,0.07
