model,phase_strategy,avg_accuracy_score,best_accuracy_score,min_accuracy_score,var_accuracy_score,best_precision_score,best_recall_score,best_f1_score
HSGS,original,0.55,0.7,0.43,0.07,0.65,1.0,0.66
phase-encoding,angle,0.66,0.86,0.29,0.14,1.0,1.0,0.86
phase-encoding,angleradius,0.69,1.0,0.43,0.18,1.0,1.0,1.0
phase-encoding,original,0.77,1.0,0.51,0.16,1.0,1.0,1.0
phase-encoding,radius,0.61,0.86,0.43,0.12,1.0,1.0,0.8
