auc-roc-score,precision_score,recall_score,accuracy_score,model
0.5,0.5,1.0,0.5,output_HSGS
0.8494,0.17647058823529413,0.03,0.445,output_encoding_weight
0.1815,0.0,0.0,0.305,output_encoding_input
0.88285,0.6533333333333333,0.98,0.73,output_phase_encoding
