model,phase_strategy,bias,threshold,lr,avg_error,trained_weights,initial_weights,neuron_outputs
phase-encoding,angle,False,0.1,0.02,0.3857299999999999,"[6.035272263732356, 0.2678572204077988, 5.248334622275699, -1.7384702379008405]","[0.6778165367962301, 0.27000797319216485, 0.7351940221225949, 0.9621885451174382]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
phase-encoding,angle,False,0.3,0.02,0.4000199999999999,"[5.427782047983831, 0.21516148843435032, 2.184186866676208, -1.4838855928789874]","[0.5, 0.5, 0.5, 0.5]","[1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]"
phase-encoding,angle,False,0.3,0.1,0.4143099999999999,"[0.48589775669175067, -0.20144875343936466, -0.2286792676768972, -0.29248127769344395]",0.0763082893739571,"[1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]"
phase-encoding,original,True,0.5,0.02,0.4286,"[-0.21948255456749352, 2.210799574264323e-06, -0.09257106895943605, -0.22821867591687797, -0.2929390098113534, -0.2929390098113534, -0.2929390098113534, -0.2929390098113534]",0.7799187922401146,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
phase-encoding,angle,False,0.5,0.02,0.4286,"[3.040637013755037, 0.4349448609610062, 0.017328852256813652, -0.4637086737309662]",0.7799187922401146,"[1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
phase-encoding,original,True,0.7,0.02,0.4286,"[0.07112619412745999, -0.177623689177567, -0.008739902923968377, -0.28590582674474696, -0.3440763747133291, -0.3440763747133291, -0.3440763747133291, -0.3440763747133291]",0.7799187922401146,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
phase-encoding,angle,True,0.7,0.1,0.4286,"[0.6636088027469922, -0.3150973011991644, -0.6416291443634177, -0.6416291443634177, -0.9894657279114413, -0.5189278084346337, 0.08406556530494112, 0.08406556530494112]",0.0763082893739571,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
phase-encoding,angleradius,True,0.8,0.1,0.4286,"[-0.6225553743732062, -0.6583778458297801, -0.807272719289542, -0.807272719289542, 0.6636088027469922, -0.315097301199158, -0.6416291443634177, -0.6416291443634177, -0.9894657279114413, -0.5189278084346337]",0.0763082893739571,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
phase-encoding,angle,True,0.8,0.02,0.4286,"[0.36562450257165524, -0.22267403842320008, -0.35491779431552883, -0.35491779411622054, -0.5260337662837271, -0.29082734905873214, 0.08406556530494112, 0.08406556530494112]",0.0763082893739571,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
phase-encoding,angle,True,0.7,0.02,0.4286,"[0.36562450257165524, -0.22267403842320008, -0.35491779431552883, -0.35491779411622054, -0.5260337662837271, -0.29082734905873214, 0.08406556530494112, 0.08406556530494112]",0.0763082893739571,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
phase-encoding,angle,True,0.8,0.1,0.4286,"[0.6636088027469922, -0.3150973011991644, -0.6416291443634177, -0.6416291443634177, -0.9894657279114413, -0.5189278084346337, 0.08406556530494112, 0.08406556530494112]",0.0763082893739571,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
phase-encoding,angle,False,0.5,0.1,0.4286,"[0.4859686397182395, -0.1266357590357915, -0.24877431720249152, -0.2978829538989411]",0.0763082893739571,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
phase-encoding,radius,True,0.5,0.1,0.4286,"[-0.6225553743732062, -0.6583778458297801, -0.807272719289542, -0.807272719289542, -0.9894657279114413, -0.5189278084346337, 0.08406556530494112, 0.08406556530494112]",0.0763082893739571,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
phase-encoding,radius,True,0.7,0.02,0.4286,"[-0.354788993422091, -0.35838614724659396, -0.43834678364748547, -0.43834678364748425, -0.5260337662837271, -0.29082734905873214, 0.08406556530494112, 0.08406556530494112]",0.0763082893739571,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
phase-encoding,radius,True,0.7,0.1,0.4286,"[-0.6225553743732062, -0.6583778458297801, -0.807272719289542, -0.807272719289542, -0.9894657279114413, -0.5189278084346337, 0.08406556530494112, 0.08406556530494112]",0.0763082893739571,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
phase-encoding,original,True,0.8,0.02,0.4286,"[-0.035002874831804434, -0.1402003087088809, 0.03292621861544886, -0.28588688859352607, -0.344076932853391, -0.344076932853391, -0.344076932853391, -0.344076932853391]",0.0763082893739571,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
phase-encoding,radius,True,0.8,0.02,0.4286,"[-0.354788993422091, -0.35838614724659396, -0.43834678364748547, -0.43834678364748425, -0.5260337662837271, -0.29082734905873214, 0.08406556530494112, 0.08406556530494112]",0.0763082893739571,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
phase-encoding,radius,True,0.8,0.1,0.4286,"[-0.6225553743732062, -0.6583778458297801, -0.807272719289542, -0.807272719289542, -0.9894657279114413, -0.5189278084346337, 0.08406556530494112, 0.08406556530494112]",0.0763082893739571,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
phase-encoding,angleradius,True,0.5,0.02,0.4286,"[-0.354788993422091, -0.35838614724659396, -0.43834678364748547, -0.43834678364748425, 0.3656245025744707, -0.222662802040291, -0.35491779403336576, -0.35491779403336576, -0.5260337662837271, -0.29082734905873214]",0.0763082893739571,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
phase-encoding,angleradius,True,0.5,0.1,0.4286,"[-0.6225553743732062, -0.6583778458297801, -0.807272719289542, -0.807272719289542, 0.6636088027469922, -0.315097301199158, -0.6416291443634177, -0.6416291443634177, -0.9894657279114413, -0.5189278084346337]",0.0763082893739571,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
phase-encoding,angleradius,True,0.7,0.02,0.4286,"[-0.354788993422091, -0.35838614724659396, -0.43834678364748547, -0.43834678364748425, 0.3656245025744707, -0.222662802040291, -0.35491779403336576, -0.35491779403336576, -0.5260337662837271, -0.29082734905873214]",0.0763082893739571,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
phase-encoding,angleradius,True,0.7,0.1,0.4286,"[-0.6225553743732062, -0.6583778458297801, -0.807272719289542, -0.807272719289542, 0.6636088027469922, -0.315097301199158, -0.6416291443634177, -0.6416291443634177, -0.9894657279114413, -0.5189278084346337]",0.0763082893739571,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
phase-encoding,angleradius,True,0.8,0.02,0.4286,"[-0.354788993422091, -0.35838614724659396, -0.43834678364748547, -0.43834678364748425, 0.3656245025744707, -0.222662802040291, -0.35491779403336576, -0.35491779403336576, -0.5260337662837271, -0.29082734905873214]",0.0763082893739571,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
phase-encoding,angleradius,True,0.3,0.1,0.4286,"[-0.6225553743732062, -0.6583778458297801, -0.807272719289542, -0.807272719289542, 0.6636088027469922, -0.315097301199158, -0.6416291443634177, -0.6416291443634177, -0.9894657279114413, -0.5189278084346337]",0.0763082893739571,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
HSGS,original,False,0.7,0.1,0.4286,"[0.6005489174641225, 0.9501295004136457, -3.7696971209790373, 4.548489919236031, -3.0908716251132704, -3.866830554240752, 0.5234125806737658, 0.7504098591020348, 4.669013240883914, 0.4677528597449807, -3.7951509097022074, -7.50923411090892, 12.372384689385033, 8.477401154851576, -7.634109614219397, 4.83791799430926, -7.231352493480482, 4.313994677212663, 4.5726253326439545, 0.2760490483306951]",0.2303028790209648,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
HSGS,original,False,0.5,0.1,0.4286,"[0.6005489174641225, 0.9501295004136457, -3.7696971209790373, 4.548489919236031, -3.0908716251132704, -3.866830554240752, 0.5234125806737658, 0.7504098591020348, 4.669013240883914, 0.4677528597449807, -3.7951509097022074, -7.50923411090892, 12.372384689385033, 8.477401154851576, -7.634109614219397, 4.83791799430926, -7.231352493480482, 4.313994677212663, 4.5726253326439545, 0.2760490483306951]",0.9501295004136456,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
HSGS,original,True,0.5,0.1,0.4286,"[-0.09945108253587742, 0.2501295004136459, -3.469697120979037, 3.848489919236033, -2.39087162511327, -3.1668305542407515, 0.8234125806737658, 0.05040985910203494, 4.369013240883915, 0.16775285974498075, -3.0951509097022067, -7.8092341109089185, 11.672384689385035, 7.777401154851577, -7.334109614219398, 5.137917994309259, -6.531352493480484, 3.613994677212664, 3.872625332643956, -0.023950951669304915, -10.29999999999998, -10.29999999999998, -10.29999999999998, -10.29999999999998, -10.29999999999998, -10.29999999999998, -10.29999999999998, -10.29999999999998, -10.29999999999998, -10.29999999999998, -10.29999999999998, -10.29999999999998, -10.29999999999998, -10.29999999999998, -10.29999999999998, -10.29999999999998, -10.29999999999998, -10.29999999999998, -10.29999999999998, -10.29999999999998]",0.9501295004136456,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
HSGS,original,False,0.7,0.02,0.4286,"[0.6005489174641225, 0.9501295004136456, -0.5696971209790354, 1.3484899192360311, 0.10912837488673076, -0.6668305542407501, 0.5234125806737658, 0.7504098591020348, 1.4690132408839145, 0.4677528597449807, -0.5951509097022052, -1.1092341109089303, 2.7723846893850608, 2.07740115485159, -1.234109614219408, 1.6379179943092612, -0.8313524934804916, 1.1139946772126628, 1.3726253326439546, 0.2760490483306951]",0.9501295004136456,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
HSGS,original,True,0.7,0.02,0.4286,"[0.6005489174641225, 0.9501295004136456, -0.5696971209790354, 1.3484899192360311, 0.10912837488673076, -0.6668305542407501, 0.5234125806737658, 0.7504098591020348, 1.4690132408839145, 0.4677528597449807, -0.5951509097022052, -1.1092341109089303, 2.7723846893850608, 2.07740115485159, -1.234109614219408, 1.6379179943092612, -0.8313524934804916, 1.1139946772126628, 1.3726253326439546, 0.2760490483306951, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015]",0.9501295004136456,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
HSGS,original,True,0.7,0.1,0.4286,"[0.6005489174641225, 0.9501295004136457, -3.7696971209790373, 4.548489919236031, -3.0908716251132704, -3.866830554240752, 0.5234125806737658, 0.7504098591020348, 4.669013240883914, 0.4677528597449807, -3.7951509097022074, -7.50923411090892, 12.372384689385033, 8.477401154851576, -7.634109614219397, 4.83791799430926, -7.231352493480482, 4.313994677212663, 4.5726253326439545, 0.2760490483306951, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977]",0.9501295004136456,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
HSGS,original,False,0.8,0.02,0.4286,"[0.6005489174641225, 0.9501295004136456, -0.5696971209790354, 1.3484899192360311, 0.10912837488673076, -0.6668305542407501, 0.5234125806737658, 0.7504098591020348, 1.4690132408839145, 0.4677528597449807, -0.5951509097022052, -1.1092341109089303, 2.7723846893850608, 2.07740115485159, -1.234109614219408, 1.6379179943092612, -0.8313524934804916, 1.1139946772126628, 1.3726253326439546, 0.2760490483306951]",0.9501295004136456,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
HSGS,original,True,0.8,0.02,0.4286,"[0.6005489174641225, 0.9501295004136456, -0.5696971209790354, 1.3484899192360311, 0.10912837488673076, -0.6668305542407501, 0.5234125806737658, 0.7504098591020348, 1.4690132408839145, 0.4677528597449807, -0.5951509097022052, -1.1092341109089303, 2.7723846893850608, 2.07740115485159, -1.234109614219408, 1.6379179943092612, -0.8313524934804916, 1.1139946772126628, 1.3726253326439546, 0.2760490483306951, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015, -1.4000000000000015]",0.9501295004136456,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
HSGS,original,False,0.8,0.1,0.4286,"[0.6005489174641225, 0.9501295004136457, -3.7696971209790373, 4.548489919236031, -3.0908716251132704, -3.866830554240752, 0.5234125806737658, 0.7504098591020348, 4.669013240883914, 0.4677528597449807, -3.7951509097022074, -7.50923411090892, 12.372384689385033, 8.477401154851576, -7.634109614219397, 4.83791799430926, -7.231352493480482, 4.313994677212663, 4.5726253326439545, 0.2760490483306951]",0.9501295004136456,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
HSGS,original,True,0.5,0.02,0.4286,"[0.40054891746412236, 0.7501295004136455, -0.3696971209790352, 1.148489919236031, 0.30912837488673073, -0.46683055424075, 0.723412580673766, 0.5504098591020347, 1.2690132408839143, 0.26775285974498053, -0.395150909702205, -1.3092341109089305, 2.5723846893850606, 1.8774011548515896, -1.0341096142194077, 1.8379179943092614, -0.6313524934804914, 0.9139946772126627, 1.1726253326439544, 0.07604904833069513, -1.2000000000000013, -1.2000000000000013, -1.2000000000000013, -1.2000000000000013, -1.2000000000000013, -1.2000000000000013, -1.2000000000000013, -1.2000000000000013, -1.2000000000000013, -1.2000000000000013, -1.2000000000000013, -1.2000000000000013, -1.2000000000000013, -1.2000000000000013, -1.2000000000000013, -1.2000000000000013, -1.2000000000000013, -1.2000000000000013, -1.2000000000000013, -1.2000000000000013]",0.9501295004136456,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
HSGS,original,True,0.8,0.1,0.4286,"[0.6005489174641225, 0.9501295004136457, -3.7696971209790373, 4.548489919236031, -3.0908716251132704, -3.866830554240752, 0.5234125806737658, 0.7504098591020348, 4.669013240883914, 0.4677528597449807, -3.7951509097022074, -7.50923411090892, 12.372384689385033, 8.477401154851576, -7.634109614219397, 4.83791799430926, -7.231352493480482, 4.313994677212663, 4.5726253326439545, 0.2760490483306951, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977, -10.999999999999977]",0.9501295004136456,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
