model,threshold,accuracy
output_encoding_weight,0.55,0.725
output_encoding_input,0.3,0.75
output_phase_encoding,0.1,0.5
output_encoding_weight,0.55,0.725
output_encoding_input,0.3,0.75
output_phase_encoding,0.1,0.5
output_encoding_weight,0.55,0.725
output_encoding_input,0.3,0.75
output_phase_encoding,0.1,0.5
output_encoding_weight,0.55,0.725
output_encoding_input,0.3,0.75
output_phase_encoding,0.1,0.5
output_encoding_weight,0.55,0.725
output_encoding_input,0.3,0.75
output_phase_encoding,0.1,0.5
output_encoding_weight,0.55,0.725
output_encoding_input,0.3,0.75
output_phase_encoding,0.1,0.5
output_encoding_weight,0.55,0.725
output_encoding_input,0.3,0.75
output_phase_encoding,0.1,0.5
output_encoding_weight,0.55,0.725
output_encoding_input,0.3,0.75
output_phase_encoding,0.1,0.5
output_encoding_weight,0.55,0.725
output_encoding_input,0.3,0.75
output_phase_encoding,0.1,0.5
output_encoding_weight,0.55,0.725
output_encoding_input,0.3,0.75
output_phase_encoding,0.1,0.5
