model,phase_strategy,avg_accuracy_score,max_accuracy_score,min_accuracy_score,var_accuracy_score,avg_precision_score,avg_recall_score,avg_f1_score
HSGS,original,0.51,0.7,0.43,0.01,0.2,0.38,0.26
phase-encoding,angle,0.51,0.71,0.14,0.02,0.28,0.38,0.31
phase-encoding,angleradius,0.63,0.86,0.29,0.03,0.44,0.39,0.39
phase-encoding,original,0.55,1.0,0.0,0.07,0.43,0.46,0.42
phase-encoding,radius,0.52,0.71,0.29,0.01,0.31,0.37,0.32
