,RWQN,BWQN
0,2.969482421875,2.95458984375
1,2.86181640625,2.907958984375
2,2.3812255859375,2.85302734375
3,2.179931640625,1.684326171875
4,2.0816650390625,1.5062255859375
5,2.0213623046875,1.4849853515625
6,2.0047607421875,1.504150390625
7,1.9869384765625,1.4923095703125
8,1.96923828125,1.4874267578125
9,1.94091796875,1.5068359375
10,1.9515380859375,1.506591796875
11,1.940185546875,1.5074462890625
12,1.9373779296875,1.4920654296875
13,1.929931640625,1.5087890625
14,1.9293212890625,1.501708984375
15,1.923828125,1.5059814453125
16,1.920166015625,1.4989013671875
17,1.920654296875,1.49462890625
18,1.91552734375,1.5091552734375
19,1.9144287109375,1.4881591796875
20,1.9095458984375,1.5052490234375
21,1.914794921875,1.4947509765625
22,1.906982421875,1.483642578125
23,1.9005126953125,1.4970703125
24,1.9007568359375,1.4952392578125
25,1.9022216796875,1.5040283203125
26,1.9027099609375,1.501708984375
27,1.904296875,1.5001220703125
28,1.9053955078125,1.494873046875
29,1.9010009765625,1.4974365234375
30,1.89697265625,1.5068359375
31,1.905517578125,1.5030517578125
32,1.8951416015625,1.4888916015625
33,1.8978271484375,1.50439453125
34,1.904541015625,1.50732421875
35,1.8963623046875,1.4952392578125
36,1.8975830078125,1.5035400390625
37,1.9007568359375,1.510009765625
38,1.89599609375,1.504638671875
39,1.897705078125,1.50341796875
40,1.891845703125,1.4974365234375
41,1.8900146484375,1.4913330078125
42,1.89111328125,1.502685546875
43,1.893310546875,1.496337890625
44,1.8818359375,1.51123046875
45,1.893798828125,1.50732421875
46,1.8970947265625,1.5057373046875
47,1.8953857421875,1.490966796875
48,1.8946533203125,1.510986328125
49,1.8939208984375,1.50341796875
50,1.8973388671875,1.49853515625
51,1.8922119140625,1.498046875
52,1.8870849609375,1.495849609375
53,1.8905029296875,1.5089111328125
54,1.8818359375,1.5048828125
55,1.887939453125,1.492431640625
56,1.890869140625,1.5084228515625
57,1.893798828125,1.4971923828125
58,1.893310546875,1.5091552734375
59,1.8963623046875,1.490478515625
60,1.8946533203125,1.5008544921875
61,1.8963623046875,1.501220703125
